Species/Plot;143001;143002;143003;153001;153002;153003;163001;163002;173001;173002;173003;183001;193001;2b3001;213001;223001;233001;243001;253001;263001
Rubus caesius;;;;1;1;+;;;;;;;;;;;+;;;
Rubus sect. Rubus;;;;+;;;;;;;;;;;;;;;;
Rumex acetosa;;;;1;+;;;;;r;r;1;+;1;+;+;;;1;
Rumex crispus;;;r;;;;;;;;;;;;;;;;;
Sambucus nigra;;;r;;;;;;;;;;;;;;;;;
Sanguisorba officinalis;;+;1;2a;+;;+;;;;;;1;;;;;;;
Selinum carvifolia;;;;;r;;;r;;;;;;;;;;;;
Silaum silaus;1;+;1;;;;+;;+;;;1;;;;r;;+;;+
Silene flos-cuculi;;;;r;+;;r;;;;;;;;;;;;;
Solidago canadensis;;;;;;;;;;;;;;;;;+;;;
Stachys officinalis;r;;;;;;;;;;;;;;;;;;;
Stachys palustris;;;;1;+;1;;;;;;;;;;;;;;
Stellaria graminea;;;;;;;+;+;+;;;;;;;;;;;
Symphytum officinale;;;;1;r;r;+;+;;+;;;+;;;;;;+;1
Taraxacum sect. Ruderalia;+;1;1;;;;+;r;+;+;;+;+;+;r;+;+;+;r;
Thalictrum lucidum;;;;1;r;r;;;;;;;;;;;;;;
Torilis japonica;;;;+;;;;;;;;;;;;;;;;
Trifolium dubium;;;;;;;;;r;;;;;;;;;;;
Trifolium pratense;1;1;+;;;;+;+;;+;+;1;+;2a;;;+;+;;r
Trifolium repens;+;+;+;;;;+;r;+;;;;;;;;;;;
Typha angustifolia;;;;;;;;;;+;;;;;;;;;;
Urtica dioica;;;;r;;r;;;;+;;;;;;;;;;
Valeriana officinalis;;;;+;+;;;;;;;;;;;;;;;
Veronica chamaedrys;1;1;+;+;+;;;+;1;;;1;1;1;1;1;1;1;+;
Veronica longifolia;;;;1;r;;;;;;;;;;;;;;;
Veronica serpyllifolia;+;;;;;;;+;;;;;;+;+;;+;;;
Vicia cracca;;;;+;r;;;;;;+;;;+;;;;;;
Vicia sepium;+;;;;;;1;+;;;+;+;+;+;+;r;;;1;1
Viola hirta;+;;;;;;;;;;;;+;;;;;;;
Viola odorata;;;;;+;;;;;;;;;;;;;;;
